,question,answer
10,[구매관련] 신차 구입시 기존 차량 중고 매매는 어떻게 해야하나요?,"중고차 처리 부분은 한국지엠에서 공식적으로 처리해드릴 수 있는 업무가 아닙니다. 따라서 고객분이 중고차를 처분하고 신규차를 구입하기를 원하는 경우에는, 우선 고객분께서 중고차업자와 직접 매매계약을 체결하시면 됩니다.
 
만약 고객분께서 중고차 업자를 모르시는 경우에는, 카매니저에게 중고차 업자를 소개 부탁 하실 수는 있습니다. 이 경우에는 카매니저는 고객관리 차원에서 중고차 업자를 고객분께 소개하고, 고객은 공정하게 중고차 가격을 평가 받을 수 있도록 조언을 받을 수 있을 것입니다.

 
그러나 어떠한 경우에도 카매니저는 중고차 업자의 소개에 따른 소개비, 알선료 등을 요구해서도 받아서도 안됩니다. 이유는 한국지엠은 신조차만을 판매해야 하며, 중고차 판매는 할 수 없도록 되어 있습니다."
11,[구매관련] 신차 구매시 현급영수증 발급받으려면 어떻게 해야하나요?,조세특례제한법에 의거 신차구입시 사용한 금액은 소득공제 대상에서 제외되며 현금영수증 발급되지 않습니다. 
12,[구매관련] 부가세 환급 대상 및 환급 철차는 어떻게 되나요?,"차량 구입시 부가가치세를 환급받으려면 부가가치세를 내는 사업자만 적용됩니다 
  - 대상차종 : 1000cc 이하 차종(스파크, 다마스, 라보) 
 "
13,[구매관련] 환경개선 부담금 면제 대상차량은 무엇입니까?,"▶ 크루즈, 올란도, 캡티바 차량중 디젤 해당(유로5 차량) 됩니다. "
14,[구매관련] 세금계산서 발급 절차 / 발급장소를 알고싶습니다.,"세금계산서는 차량 출고시 지급하면 됩니다.
  - 추가 발급이 필요하면 구매 전시장 카매니저에게 문의(재발급으로 발행)하시면 됩니다. "
15,[구매관련] 세금관련 내용에 대해 알고싶습니다.,구매가이드 → 구매절차안내 → 세금제도를 참조하시면 됩니다. 
16,"[구매관련] 직접 출고 받는 방법, 필요 서류, 대리인 가능한지 알고 싶습니다.","직접 출고사무소(인천,군산,창원,천안,왜관)를 방문 가능합니다. 
  - 본인 방문시 : 신분증 지참하시면 됩니다. 
- 대리인 방문시 : 신분증 지참 및 구입 전시장에 인적사항 제출하시면 됩니다. "
17,[구매관련] 신차 구입시 발생되는 세금의 종류와 비용은 무엇입니까?,"○ 자동차 세금은 배기량에 따라서 금액이 책정되며, 신차 구입시 개별소비세, 부가가치세(10%),통합취득세(부가가치세를 제외한 차량가의 7%)가 적용됩니다.  "
18,"[구매관련] 신차 구입시 할인 받을 수 있는 방법 (오토카드, 로열티, 쉐보레 멤버스 등)은 무엇입니까?","▶ 오토카드 
  - 쉐보레 삼성카드 및 쉐보레 롯데카드에 적립되어 있는 오토포인트는 차량 구입시 최대 200만 포인트까지 사용 가능합니다. (부모/배우자/자녀 포인트 합산 사용 가능)
- 쉐보레 삼성카드 및 쉐보레 롯데카드 선포인트 서비스를 이용하시면 최대 30만원까지 미리 차감한 금액으로 차량 구입이 가능합니다. (단, 스파크, 트랙스 크로스오버, 트레일블레이저에 한하여 선포인트 서비스가 제공됩니다.) 
  ▶ 재구매 할인 프로그램 
  - 93년도 이후 신 차 구입 이력이 있는 쉐보레 멤버스 고객의 경우, 내 명의로 2회 구입 시부터 20만원 할인이 되며, 최대 5회 구입 시 50만원까지 할인이 됩니다. 
- 스파크, 트랙스 크로스오버 구매 시에는 재구매 할인 금액에서 10만원씩 차감됩니다.
  * 보다 자세한 사항은 쉐보레 컴플리트 케어 → 쉐보레 멤버스 페이지를 참조하여 주시기 바랍니다. "
19,[구매관련] 계약해지시 계약금 환불 규정 및 환불 기간은 어떻게 되나요?,환불의 경우 1~3일정도 소요됩니다.(토/일/법정 공휴일 미포함) 
20,[차량관리] 유로5 디젤 엔진 장착 차량 운행 중에 DPF 재생 알림등이 점등됩니다. DPF가 어떤 내용인가요?,"크루즈 디젤, 캡티바, 올란도 고객님, 쉐보레 차량을 운행해 주셔서 진심으로 감사 드립니다. 
  차량을 운행하시다 보면 계기판 상에 DPF 재생 알림등이 점등되거나 깜박거리는 경우가 있습니다. 이는 차량에 문제가 있는 것이 아니오니 안심하시고 시속 60km 이상으로 약 20여분 정속 주행하시면 자동으로 DPF 재생 알림등이 소등됩니다.
  해당 운행 정보 참고하시어, 안전 운전 하시기 바랍니다. 
  DPF 재생 알림등 점등 원리: DPF는 디젤엔진의 배기가스 중 외부로 배출되는 매연을 저감시켜 주는 장치로, DPF에 매연이 과도하게 축적되면 DPF재생을 통해 자기 정화 기능을 수행합니다. 
  보통 전자제어컴퓨터가 최적의 조건을 판단하여 자동적으로 DPF재생을 수행하나, 자동 재생이 되지 않았을 경우 보다 효율적인 재생을 위해 전자제어컴퓨터가 주행모드를 변경하거나 시동을 끄고 켜는 것을 자제할 것을 요청할 수 있습니다.
  이 경우, DPF 재생 알림등이 점등되거나 깜박거리며 운전자에게 알람을 주게 됩니다. 
  이는 모든 디젤 차량에서 일반적인 현상으로 알려드린 대로 주행모드를 변경하시면 DPF 재생이 이루어지면서 소등이 됩니다. "
21,[차량관리] 내비게이션 업그레이드 방법은 무엇입니까?,"· 대성엘텍 및 S&T 대우 내비게이션 (크루즈, 말리부, ALL NEW 말리부, 올란도, 캡티바, 임팔라, 카마로SS, 알페온, 윈스톰, 토스카) 
  내비게이션 업데이트는 www.rousen.com/gm 를 통해 다운로드 받아주시거나, 쉐보레 직영 서비스센터로 방문하여 업데이트를 받아보시기 바랍니다.(고객지원센터☎ 02-838-0777) 
  차종 및 내비게이션 모델에 따라 CD를 구입하여 업데이트를 하는 방식도 있으니 보다 자세한 사항은 한국지엠 고객 센터(☎ 080-3000-5000)로 문의하시면 상세히 안내 받아보실 수 있습니다. "
22,[차량관리] 시동 키가 돌아가지 않을때(핸들잠김) 해결방법은 무엇입니까?,"대부분의 경우 이런 현상이 일어나는 원인은 키를 꽂아두지 않은 상태 즉, 시동을 끈 상태에서 핸들을 돌렸을 경우 핸들이 잠기는 현상이 발생합니다. 
  이는 도난방지를 위한 하나의 방편인데, 이때는 키가 돌아가지 않아서 시동이 걸리지 않습니다.
  이때 핸들을 푸는 방법은 왼손으로 핸들의 좌측상 단부를 잡고 시계 반대방향으로 힘껏 당기면서(돌리듯) 오른손으로 키를 돌리면 시동이 걸리면서 핸들이 풀립니다. "
23,[차량관리] 정비 예약은 어떻게 해야하나요?,"인터넷 정비 예약은 쉐보레 멤버스 고객께 제공되는 서비스입니다. 
  우선은 쉐보레 멤버스에 가입을 하신 후 쉐보레 홈페이지의 쉐비케어 → 정비서비스 → 서비스센터 찾기 및 예약에서 가능합니다. "
24,[차량관리] 차량 정비시 정비 비용 할인 방법은 무엇입니까?,"▶ 굿모닝 예약 할인
  오전 8:40 ~ 9:30 (입고시간 기준)에 예약하시면 총 수리비의 5%를 할인해 드립니다. (단, 인천/창원정비사업소, 속초바로정비: 오전 8:10 ~ 9:00 까지 할인) 
  굿모닝 예약 할인은 주중(월~금)에만 적용됩니다. (토/일요일 제외) 
쉐보레 오토카드를 소지하신 경우 5% 추가 할인됩니다. (굿모닝 예약 할인에 한함)  
  ▶ 오토카드 
해당카드 제출 시 수리비의 5%를 현장에서 할인해 드립니다. 
  ▶ 굿모닝예약 & 오토카드 
총 수리비의 10% 를 할인해드립니다. "
25,[차량관리] 리모콘키 분실 후 일반키로 시동시 경보음 발생 해지 방법은 무엇입니까?,"과거에는 리모콘키로 도어를 잠근 후 수동키로 열면 도난 경보음이 작동하였으나, 최근 생산 되는 차량은 일반키를 리모콘키가 감지하여, 수동키로 도어를 열 경우 정상적인 도어 개폐로 인식하기 때문에 경보음이 작동하지 않습니다.
  도난 경보 경고음은 리모콘키나 수동키를 사용하지 않고 다른 방법으로 도어, 트렁크, 엔진후드를 열 때 작동 됩니다. 단, 연식이 오래된 차량의 경우, 도난방지장치가 작동 중인 상태에서는 리모콘키를 사용하지 않고 수동키나 비정상적인 방법으로 도어 및 테일게이트를 열 경우 경고음이 작동됩니다.
  리모콘키의 잠금 또는 풀림버튼을 누르면 경보음 작동이 멈춥니다. 즉, 리모콘키로 도난 경계에 진입한 경우 리모콘키 이외의 방법으로 도어를 열게 되면 비상등이 점멸하고 사이렌이 울리면서 도난 경보 상태가 됩니다. 기능상 해제는 사이렌이 28초 동안 작동 후 종료되게 됩니다."
26,[차량관리] 모든 자동차 키를 분실한 경우 해결 방안은 무엇입니까?,"메인 리모콘키를 비롯 예비 키(보조키)까지 모두 분실을 한 경우라면, 키 박스 전체를 교환하셔야 합니다. 서비스 네트워크까지 차량 운행을 못하는 경우이므로, 견인을 통해서 입고를 하여 키 박스 교체 작업을 해야 합니다. "
27,[차량관리] 리모콘 키를 분실한 경우는 어떻게 해야하나요?,"순정 리모콘키는 당사 서비스 네트워크를 통해 구입이 가능합니다. 
  리모콘키 부품을 서비스센터 자재과를 통해서 구입하셔서 새로운 리모콘키와 해당 차량간 코드가 맞도록 셋팅을 하고, 리모콘키의 쇠 부분은 가지고 계신 여분의 키를 이용해 외부에서 복사를 하셔야 합니다. "
28,[차량관리] 핸들을 끝까지 돌렸을 때 소리가 나는데 해결방법은 무엇입니까?,"예측되는 몇 가지 사항

* 조향핸들과 조향핸들축 커버가 간섭

* 클럭스프링 불량
- 에어백 장착차량의 경우 조향핸들커버 안쪽에 에어백 모듈이 설치되고 이 에어백 모듈에 전기를 공급하기 위한 배선이 스프링 모양으로 감겨있는데, 이를 클럭스프링이라고 합니다. 이 클럭스프링이 조향핸들을 돌리는 과정에서 소음이 발생될 수 있습니다.

* 조향핸들축이 회전시 간섭
-조향핸들축과 바닥 고무패킹 부위가 간섭될 경우 핸들 조향시 마찰음이 발생됩니다.

* 조향핸들 기어박스의 고무패킹 윤활불량
-조향핸들 기어박스의 피니언기어축 고무부싱에서 주로 발생되며 피니언기어축이 회전할 때 마찰음이 발생됩니다.

* 파워핸들 오일펌프 불량
-파워핸들 오일펌프가 불량하거나 오일이 부족할 경우 핸들을 돌릴 때 소음이 발생됩니다.

* 파워핸들 오일펌프 벨트 불량
-파워 핸들 벨트의 재질이 불량하거나 장력이 약하여 슬립 발생시 소음이 발생됩니다."
29,[차량관리] 하얀색 배기가스가 많이 나오는데 해결방법은 무엇입니까?,"일반적으로 날씨가 추우면 배기가스가 흰 색을 띠는 것이 보통입니다만,
엑셀을 밟을 때마다 하얀 연기가 뭉실뭉실 나오면 이것은 엔진오일이 타고 있다는 신호일 수 있습니다.

또 경우에 따라서는 연료에 불순물이 섞여 있을 경우나, 냉각수 부족으로 엔진이 과열 되었을 때에도 하얀 배기 가스가 나옵니다. 어떤 경우이든 하얀색의 배기가스가 나오면 우선 냉각수 상황과 엔진오일의 적정 여부부터 점검하는 것이 순서입니다.

만일 냉각수나 엔진오일이 적정 수준이거나, 아니면 교환한지 얼마 지나지 않았음에도 하연색 배기가스가 나온 상태라면, 피스톤이나 실린더 벽이 마모되어 틈새가 많이 벌어졌거나, 피스톤과 실린더의 작동이 원활하도록 엔진오일 양을 조정하는 피스톤 링이 손상되었거나, 차가 연식이 오래된 경우라면 엔진을 밀봉해 주는 가스켓이 손상된 경우도 원인일 수 있습니다."
30,[차량관리] 엔진체크등이 들어왔는데 어떻게 해야 하나요?,"■ 배기가스 자기진단 장치
자동차의 배기가스 관련 부품의 고장으로 인해 배기가스가 특정 수준 이상으로 올라가면, 자기진단 장치가 계기판에 있는 엔진정비지시등을 작동시켜 차량 서비스를 받아야 함을 운전자에게 알려줍니다. 이 차량에서 엔진정비지시등은 점등되거나 점멸하도록 설정되어 있습니다. 배기가스 관련 부품에 문제가 없으면 점화 스위치를 켰을 때 이 지시등은 점등되었다가 시동 후 몇 초 있다 꺼집니다. 그러나 이 엔진 정비 지시등이 주행 중에 계속 켜져 있거나 점멸하면 배기가스 관련 부품에 문제가 있을 가능성이 있습니다. 이런 경우에는 다음과 같은 조치가 필요합니다.
  ▶ 엔진정비지시등이 점멸할 때
심각한 실화(misfire)가 발생할 경우 점멸됩니다. 실화는 배기가스를 증가시키고 심각한 경우, 배기가스 제어 시스템을 손상시킬 수 있습니다. 엔진 정비 지시등이 점멸할 때에는 차량 손상 및 시동 꺼짐을 막기 위해 다음과 같은 조치를 취하십시오.

- 속도를 줄이십시오.
- 급가속을 피하십시오.
- 가파른 언덕 주행을 피하십시오.

지시등이 점멸을 멈추고 점등 상태를 유지할 경우에는 ""엔진정비지시등이 점등할 때""를 참조하십시오.
지시등이 계속 점멸되면 차량을 안전한 곳에 주차하십시오.
엔진을 끄고 약 10 초 후 다시 엔진 시동을 건 후 잠시 기다리십시오.
이때 지시등이 점등되면 ""엔진정비지시등이 점등할 때""를 참조하십시오.

그러나, 지시등이 계속 점멸하면 차량을 가장 가까운 당사 정비망으로 가져가 점검 및 서비스를 받으십시오.

▶ 엔진정비지시등이 점등할 때
차량의 배기가스 제어 시스템에 문제가 있을 때 점등됩니다.
엔진정비지시등이 점등되면 다음과 같은 경우에 해당 되는지 점검한 후 적절한 후속 조치를 취하십시오.
최근에 연료를 주입하고 연료 캡이 불확실하게 잠겼을 경우 지시등이 점등될 수 있습니다. 이 경우, 연료 캡을 연 후 다시 닫으십시오. 연료 캡이 완전히 잠겨 있지 않거나 부정확하게 잠겨 있을 때 점검 시스템이 작동됩니다.

이 경우, 연료 캡을 제대로 완전히 잠그고 차량을 특정운행 모드(차량 시동 -> 20 분 이상 주행 -> 30 초 이상 정지 -> 엔진 정지)로 2∼3 회 운행하면 지시등이 꺼지고 문제가 해결될 수 있습니다.

또한, 차량을 물웅덩이가 있는 구간을 운행을 하였다면 지시등이 점등될 수 있습니다. 이런 상황에서 운행시 차량의 전자 시스템이 젖을 수 있습니다. 이때 점검 시스템이 작동되어 지시등이 점등될 수 있습니다.

이 경우, 전자 시스템을 말린 후 차량을 일반 운행 모드로 2∼3 회 운행하면 지시등이 꺼지고 문제가 해결될 수 있습니다.

최근 잘못된 연료를 차량에 주유한 경우에도 지시등이 작동할 수 있습니다.
잘못된 연료를 사용하면 차량 전체에 문제를 일으켜 지시등이 점등될 수 있습니다.이 경우, 탱크 내의 모든 연료를 올바른 연료로 교체한 후 차량을 일반 운행 모드로 2∼3 회 운행하면 지시등이 꺼지고 문제가 해결될 수 있습니다.

현재 상황이 위의 경우에 해당되지 않으면, 차량을 가장 가까운 당사 정비망으로 가져가 점검 및 서비스를 받도록 하십시오."
31,[차량관리] 배터리 방전시 점프 방법은 무엇입니까?,"배터리 방전의 경우 (+)극 연결은 방전된 배터리의(+)의 단자에 케이블을 연결하고 정상 배터리의(+)에 다른 한쪽의 케이블을 연결합니다. 
  (-)극 연결은 정상 배터리의 (-)극을 케이블로 연결하고 방전 차량의 배터리(-)극에 케이블을 연결합니다. 
  이때 양극 케이블을 먼저 연결하고 나중에 음극 케이블을 연결하십시오. 연결을 완료후 방전 차량의 시동을 겁니다. 
  시동후 2~3분후 연결 케이블을 분리하며, 분리는 케이블 연결시의 역순으로 합니다. "
32,[차량관리] 필터교환후에도 에어컨 작동시 곰팡이 냄새를 제거하는 방법은 무엇입니까?,"일반적으로 공기온도 차이에 의한 냄새 발생이 있을 수 있는데, 최초로 작동되는 순간은 미처 차가워지지 않은 미지근한 바람이 나오다가 시간이 조금 지나 에어컨 가스(냉매)가 어느 정도 순환되면 찬 바람이 나오게 됩니다. 이렇게 공기의 온도변화가 심한 기간 중에는 그 온도차이에 의해 발생되는 냄새가 다소 날 수 있습니다.
  그리고 에어컨 에바포레이터나 통풍구 안으로 이물질이 유입되는 경우, 주입된 이물질과 습기가 혼합되어 에바포레이터나 통풍구에 점착되면 세균번식 또는 부식에 의한 냄새가 발생됩니다. 따라서 에어컨을 켜고 주행을 하시다가 목적지에 도달하기 약 5분 정도 전에는 에어컨을 미리 꺼주시고, 그냥 송풍상태로 놓아주시면 냄새 발생을 예방할 수 있습니다. "
33,[차량관리] 신호 대기나 공회전시 자동변속기 위치는 N과 P 중 어떤 위치로 하는게 좋을까요?,"일반적으로 D에서 rpm이 낮은 것은 엔진 출력에 부하가 걸려있기 때문입니다.
  부하가 걸려 있으면 그만큼 연료소비가 더 많이 되기 때문에 D상태보다는 N상태에서 연료소비는 더 적다고 볼 수 있습니다. 
  그러나 신호등이 바뀐 뒤 D상태로 옮기고 갑자기 액셀레이터를 밟으면 연료 소모량이 더 많아지기 때문에 대기시 D상태인지 N상태인지가 연비에 결정적인 영향을 미친다고 보기는 어렵습니다. 
  짧은 신호대기나 1분 이내의 정차시에는 D상태에 놓고, 그 이상일 경우 N으로 변속하는 것이 연비 향상에도 도움이 되고, 미션에도 무리를 주지 않는 가장 좋은 방법이라 할 수 있습니다. "
34,[차량관리] 수동변속기 출발시 몇단에서 하나요?,수동변속기는 1단에서 출발합니다.
35,[차량관리] P에서 기어가 빠지지 않습니다 어떻게 해야하나요?(쉬프트락),"변속기 P위치에서 다른 기어로 변속이 되지 않는다면, 우선 시동을 끈 상태에서 키를 기어박스에 있는 쉬프르록 릴리스 홈에 꽂아 주시고, 
  키를 꽂은 상태에서 변속레버의 측면 버튼을 눌러 P에서 N 위치로 옮기십시오. 
  다시 키를 빼서 시동을 걸고 변속레버를 D 위치로 옮겨 운행해주시기 바랍니다. 
  실 차를 보지 않은 상황이기 때문에 정확한 진단이 어렵습니다만, 셀렉트 레버의 'p'포지션 스위치의 이상, 브레이크 스위치의 손상, BTSI 유니트의 고장, BTSI 솔레노이드가 제어되지 않는 경우일 수 있습니다. 번거로우시더라도 가까운 쉐보레 서비스 네트워크로 입고하여 상세한 점검 받아보시기 바랍니다. "
36,"[차량관리] 침수, 폭설시 차량관리방법은 무엇입니까?","침수된 차량은 절대 시동을 바로 걸어서는 안되며, 24시간 이내 흙탕물 및 이물질을 제거/세척해야 합니다. 
  또한 직물로 된 시트는 분해하여 고압 분무기로 세척하고, 침수된 모든 부품을 분해하여 깨끗한 물로 세척 후 건조 시킵니다. 
  차체와 내장재 모두를 분리하여 세척하고 차체 및 건조된 모든 부품과 장치는 방청제를 충분히 도포하여야 합니다. 
  이때 전기장치 회로를 주의하여야 합니다. 엔진오일 등의 오일류는 모두 교환하며, 모든 부품과 장치를 조립 후 최종 전기 장치를 연결합니다. 
  폭설시 가능한한 지하주차장에 차량을 보관하시고, 불가능하여 야외 주차를 하실 경우, 차유리에 신문지나 박스를 덮어놓으면 결빙을 막는데 큰 도움이 됩니다. 또한 사이드 브레이크가 얼어 풀리지 않을 수 있으므로 평지에서 사이드 브레이크를 풀어놓는 것이 좋습니다. 
  또한 차유리에 결빙이 생겼을 경우, 억지로 긁어내지 말고 히터를 켜 녹이는 게 효과적입니다. 키홀더가 얼었을 경우에는 키를 라이터 불로 가열한 뒤 꽂으면 쉽게 열립니다. 폭설시 차량으로 급출발을 하면 바퀴가 헛돌기 쉬우므로 가속페달을 살짝 밟아 완만한 출발을 합니다. 
  또한 제동시 차량이 미끄러지면서 돌 경우, 브레이크에서 발을 떼야 차가 제방향을 잡으며, 브레이크를 밟기 전에는 기어를 2단이나 1단으로 낮춰 속도를 줄이는 것이 안전합니다. 워셔액과 부동액은 미리 월동용으로 챙기는 것이 중요하며, 눈길을 운행한 뒤에는 도로위에 뿌려진 염화칼슘이 차에 달라붙어 부식을 일으키므로 반드시 차량 하부 세차를 해주는 것이 좋습니다. "
37,[차량관리] 내비게이션 업데이트 시 USB 및 SD카드 용량은 어떻게 되나요?,"토스카, 윈스톰 뉴클래스 DMB 내비게이션 USB 용량은 8기가입니다."
38,[차량관리] 템포러리 임시 타이어를 적용한 이유는 무엇입니까?,"일부 차량의 경우, 템포러리 타입의 스페어 타이어가 적용되어 있습니다. 
  템포러리 타이어는 펑크가 났을 때 가까운 서비스센터까지 이동하기 위한 임시타이어로, 투박하지만 가벼운 임시 휠을 쓰고, 타이어의 편평비도 작게 바뀌었다는 점이 기존 스페어 타이어와의 다른 점 입니다. 
  높이는 정상 타이어와 똑같지만 휠사이즈는 1~2인치 정도 작아 정상품이 아닌 것처럼 보일 수 있으나, 기존의 스페어 타이어에 비해 응급상황에서의 조치를 손쉽게 할 수 있으며, 무게의 경량화로 인하여 연비 향상에도 기여하는 장점이 있습니다. "
39,[차량관리] 리페어 킷을 적용한 이유는 무엇입니까?,"일부 차량의 경우, 차량의 무게를 증가시키는 스페어 타이어를 제거하고, 운전자가 손쉽게 응급처리를 할 수 있는 ""타이어 리페어 킷""을 적용하였습니다. 
  타이어 리페어 킷은 기존 스페어 타이어를 대체하는 제품으로, 펑크가 났을 때 액체 봉합제를 컴프레셔를 통해 타이어에 주입하여 손상된 타이어를 임시 수리할 수 있어 편리하며, 현재 해외의 다수 차량이 리페어 킷을 적용하는 추세입니다. "
40,[포인트카드] 오토포인트 적립 제한 항목이 있습니까?,"쉐보레 롯데 카드

전 가맹점 무이자 할부 이용 시 포인트 적립되지 않습니다.

지방세(자동차세 포함)납부액에 대해서는 포인트 적립되지 않습니다.

오토포인트는 100원 단위는 절사되어 적립됩니다.

예)1999원 결제시 999원 절사된 1000원에 대한 포인트(3%) 30원 적립"
41,"[포인트카드] 오토포인트 사용시 최소한도가 있는지, 최대한도는 어떻게 되는지 알고싶습니다.","오토포인트는 ""일정금액 이상시 오토포인트 사용""은 없습니다.

단, 차량 구입시에는 천포인트 단위로만 사용이 가능하며, 최대 200만 포인트를 사용할 수 있습니다.

정비시에는 연 10만 포인트 한도에서 1회 3만 포인트까지만 사용 가능하며, 3만 포인트 이하 포인트 사용에 대하여는 최소 한도는 없습니다."
42,[포인트카드] 오토카드 종류는 무엇입니까?,"쉐보레 오토카드는 쉐보레 삼성카드와 쉐보레 롯데카드가 있습니다.

쉐보레 삼성카드 종류로는 삼성 오토카드, 쉐보레 삼성 슬림카드가 있으며, 쉐보레 롯데카드 종류로는 쉐보레 오토 롯데카드, 쉐보레 오토 롯데카드(국내전용), 쉐보레 오토 롯데 체크카드가 있습니다."
43,[포인트카드] 오토카드 발급 방법은 무엇입니까?,"쉐보레 홈페이지 또는 해당 카드사별 홈페이지에서 신청하시면 됩니다. 

- 쉐보레 홈페이지 : www.chevrolet.co.kr
- 삼성카드 홈페이지 : www.samsungcard.co.kr"
44,"[포인트카드] 신차 구입시 부부, 형제, 자녀 등 사용 가능한 포인트 범위는 무엇입니까?",쉐보레 자동차 신차 구입 시 부모/배우자/자녀 포인트를 합산하여 최대 200만 포인트까지 사용 가능합니다.
45,[포인트카드] 오토포인트 확인하는 방법은 무엇입니까?,"오토포인트는 쉐보레 홈페이지의 쉐비케어 → 마이 쉐보레 → 포인트 조회 또는 고객센터(☎ 080-3000-5000)를 통해 확인 가능합니다. 그리고 해당 카드사를 통해서도 확인 가능합니다.

- 삼성카드 : 홈페이지 www.samsungcard.co.kr 고객센터 ☎ 1588-8700
- 롯데카드 : 홈페이지 www.lottecard.co.kr 고객센터 ☎ 1577-8500
 "
46,[포인트카드] 오토포인트 양도가 가능한지 알고싶습니다.,오토포인트는 양도할 수 없습니다.
47,[포인트카드] 오토포인트 기부가 가능한지를 알고싶습니다.,"오토포인트는 차량 구입 및 정비시 이용 가능하며, 기부 제도는 없습니다."
48,[포인트카드] 오토포인트 사용 및 오토카드 할인(정비시 5%) 중복 가능한지를 알고싶습니다.,"오토포인트 사용 및 오토카드 할인은 중복 적용 가능합니다.

쉐보레 오토카드로 수리비 결제 시 5% 현장 할인(지정정비는 공임 5% 할인) 해 드리며, 할인된 금액에서 오토포인트를 사용하시면 됩니다.

단, 오토포인트는 정비시 1일 1회 3만, 연 10만 포인트 한도 내에서 사용 가능합니다."
49,[포인트카드] 연체시 포인트 적립 가능 여부를 알고싶습니다.,"차량 구매 시 미리 차감된 선포인트 금액은 선포인트 결제일로부터 정해진 상환기간 내에 선포인트서비스 대상카드 이용금액(일시불 및 할부금)의 2~5%에 상응하는 선포인트를 이용하여 상환하게 됩니다. 단, 선포인트 서비스 이용 차량 구매를 위한 카드 결제 금액에 대해서는 500만원까지는 2%(10만원에 해당)의 상환율이 적용되며, 초과금액에 대해서는 해당카드의 기본 포인트가 적립됩니다.

가족카드가 선포인트 서비스 대상카드인 경우, 해당 가족카드 이용시에도 동일 기준으로 선포인트 금액이 자동 상환됩니다.

선포인트는 선포인트 금액에 상환되는 포인트로 적립형 포인트가 아닙니다.

선포인트는 선포인트 서비스 이용 전에 신청에 의해 제공되며, 선포인트의 금액은 1포인트 당 1원으로 환산되어 적용됩니다."
50,[포인트카드] 기존 지엠대우 오토카드는 그대로 사용하면 되나요?,"네, 남은 유효기간 동안 그대로 사용하시면 됩니다.

새로운 디자인의 쉐보레 오토카드를 원하시거나, 카드 재발급, 사용기간 만료, 신규 발급 시 카드사에 요청하시면 재발급이 가능합니다."
51,[포인트카드] 오토카드는 삼성과 롯데카드만 있나요?,"네, 아직까지는 삼성과 롯데카드에서만 쉐보레 오토카드를 만나보실 수 있습니다."
52,[통합계정] 통합계정이란 무엇인가요?,한 개의 계정으로 GM의 모든 브랜드 차량을 관리하고 모든 브랜드의 온라인 서비스를 이용 할 수 있는 통합계정 시스템 입니다. 
53,[통합계정] GM 통합계정에는 어떻게 로그인 하나요?,본인의 이메일과 비밀번호 설정 및 본인인증을 통해 GM 통합계정 회원가입을 하실 수 있습니다. 한 번의 회원가입으로 GM의 모든 브랜드 홈페이지 및 앱에서 로그인 하실 수 있습니다. 
